Location,Local,Latitude,Longitude,Media 01,URL 01,Lang 01,Media 02,URL 02,Lang 02,Media 03,URL 03,Lang 03,Media 04,URL 04,Lang 04,Media 05,URL 05,Lang 05,Media 06,URL 06,Lang 06,Media 07,URL 07,Lang 07,Media 08,URL 08,Lang 08,Media 09,URL 09,Lang 09,Media 10,URL 10,Lang 10,Media 11,URL 11,Lang 11,Media 12,URL 12,Lang 12,Media 13,URL 13,Lang 13,Media 14,URL 14,Lang 14,Media 15,URL 15,Lang 15
Burkina Faso,0,12.238333,-1.561593,AllAfrica,http://allafrica.com/burkinafaso/,EN,AllAfrica,http://fr.allafrica.com/burkinafaso/,FR,Le Pays,http://www.lepays.bf,FR,L'Observateur Paalga,http://www.lobservateur.bf,FR,Aujourd'hui au Faso,https://www.aujourd8.net,FR,Wakat Séra,https://www.wakatsera.com,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burma,0,21.913965,95.956223,The Irrawaddy,http://www.irrawaddy.org,EN,Myanmar Times,http://www.mmtimes.com,EN,Myanmar Now,https://myanmar-now.org/en,EN,Lepetitjournal.com Birmanie,https://lepetitjournal.com/birmanie,FR,The Global New Light of Myanmar,https://www.gnlm.com.mm/,EN – gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,0,-3.373056,29.918886,AllAfrica,http://allafrica.com/burundi/,EN,AllAfrica,http://fr.allafrica.com/burundi/,FR,Iwacu,http://www.iwacu-burundi.org,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,0,12.539031,104.9836824,The Phnom Penh Post,https://www.phnompenhpost.com,EN,Southeast Asia Globe,https://southeastasiaglobe.com,EN,Khmer Times,https://www.khmertimeskh.com,EN,Lepetitjournal.com Cambodge,https://lepetitjournal.com/cambodge,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,0,4.82826,12.700195,AllAfrica,http://allafrica.com/cameroon/,EN,AllAfrica,http://fr.allafrica.com/cameroon/,FR,Le Journal du Cameroun,https://www.journalducameroun.com/en/,EN,Le Journal du Cameroun,https://www.journalducameroun.com,FR,Mutations,http://quotidienmutations.cm,FR,Cameroon Tribune,https://www.cameroon-tribune.cm,FR – gouv,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary (Canada),1,51.0534234,-114.0625892,Calgary Herald,https://calgaryherald.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0,56.05697257,-101.7276637,CBC News,https://www.cbc.ca/news,EN,The Globe and Mail,https://www.theglobeandmail.com,EN,Radio-Canada,https://ici.radio-canada.ca,FR,La Presse,https://www.lapresse.ca,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,0,15.121729,-23.605082,AllAfrica,http://allafrica.com/capeverde/,EN,AllAfrica,http://fr.allafrica.com/capeverde/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalonia (Spain),1,41.591159,1.520862,Catalan News,http://catalannews.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,0,6.611111,20.939444,AllAfrica,http://allafrica.com/centralafricanrepublic/,EN,AllAfrica,http://fr.allafrica.com/centralafricanrepublic/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,0,15.454166,18.732207,AllAfrica,http://allafrica.com/chad/,EN,AllAfrica,http://fr.allafrica.com/chad/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago (United States),1,41.878114,-87.629798,Chicago Tribune,http://www.chicagotribune.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0,-35.675147,-71.542969,The Santiago Times,http://www.santiagotimes.cl,EN,Latin American Herald Tribune,http://www.laht.com/content.asp?CategoryId=14094,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0,36.36166,104.195397,Xinhua,http://www.xinhuanet.com/english/,EN – gov,China News Service,http://www.ecns.cn,EN – gov,China Daily,http://www.chinadaily.com.cn/index.html,EN – gov,Global Times,http://www.globaltimes.cn,EN – gov,People's Daily,http://en.people.cn,EN – gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0,4.570868,-74.297333,Colombia Reports,http://colombiareports.com/,EN,Latin American Herald Tribune,http://www.laht.com/content.asp?CategoryId=12393,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,0,-11.6455,43.3333,AllAfrica,http://allafrica.com/comoros/,EN,AllAfrica,http://fr.allafrica.com/comoros/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo Brazzaville,0,-0.681136,16.105957,AllAfrica,http://allafrica.com/congo_brazzaville/,EN,AllAfrica,http://fr.allafrica.com/congo_brazzaville/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast / Côte d'Ivoire,0,7.539989,-5.54708,AllAfrica,http://allafrica.com/cotedivoire/,EN,AllAfrica,http://fr.allafrica.com/cotedivoire/,FR,Abidjan.net,https://abidjan.net,FR,Connection ivoirienne,https://www.connectionivoirienne.net,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,0,45.1,15.1,Balkan Insight,http://balkaninsight.com/croatia-home/,EN,Independent Balkan News Agency,http://balkaneu.com//c/croatia/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,0,21.521757,-77.781167,Latin American Herald Tribune,http://www.laht.com/content.asp?CategoryId=14510,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,0,35.126413,33.429859,Independent Balkan News Agency,http://balkaneu.com//c/cyprus/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,0,49.817492,15.472962,Radio Prague International,https://english.radio.cz/,EN,Brno Daily,https://www.brnodaily.com/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas (United States),1,32.78014,-96.800451,The Dallas Morning News,http://www.dallasnews.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,0,56.26392,9.801785,The Local Denmark,http://www.thelocal.dk,EN,The Copenhagen Post,http://cphpost.dk,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,0,11.825138,42.590275,AllAfrica,http://allafrica.com/djibouti/,EN,AllAfrica,http://fr.allafrica.com/djibouti/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR Congo,0,-4.038333,21.758664,Actualite.cd,https://actualite.cd/,FR,Le Phare,https://www.lephareonline.net/,FR,AllAfrica,http://allafrica.com/congo_kinshasa/,EN,AllAfrica,http://fr.allafrica.com/congo_kinshasa/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,-1.831239,-78.183406,Latin American Herald Tribune,http://www.laht.com/content.asp?CategoryId=14089,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
